Popis,,"Stav zásoby","Cena bez DPH","Cena s DPH",,,Zkratka
"10-26-7 MVQ GP",,16,"11,6","14,04",,,Gufero
10-28-8,,9,"9,4","11,37",,,Gufero
10-30-10,,27,"8,5","10,29",,,Gufero
"110-130-12 GP",,14,"67,6","81,8",,,Gufero
"110-130-12 GP  MVQ",,14,"92,4","111,8",,,Gufero
110-130-13,,15,"59,5",72,,,Gufero
"110-130-13 MVQ GDLV",,15,"94,1","113,86",,,Gufero
"110-140-12 VIA",,0,"783,8","948,4",,,Gufero
110-140-13,,0,51,"61,71",,,Gufero
"110-140-13  WC",,2,235,"284,35",,,Gufero
"110-140-13 MVQ",,0,"80,1","96,92",,,Gufero
"110-140-13 MVQ GP",,17,"89,1","107,81",,,Gufero
"110-150-12   FPM  (VIA-VIAS)",,0,"702,9","850,51",,,Gufero
"115-140-13    GP",,9,"74,1","89,66",,,Gufero
115-150-14,,2,76,"91,96",,,Gufero
11-17-4,,0,"18,4","22,26",,,Gufero
11-19-5,,20,"12,2","14,76",,,Gufero
"11-22-7  GP",,20,"12,6","15,25",,,Gufero
11-26-7,,14,"10,2","12,34",,,Gufero
11-30-10,,13,"11,1","13,43",,,Gufero
11-35-10,,12,"11,1","13,43",,,Gufero
"120-140-13 GP  MVQ",,13,"106,6","128,99",,,Gufero
"120-140-15 GP",,37,"126,2","152,7",,,Gufero
"120-140-15 GP MVQ",,31,"132,2","159,96",,,Gufero
"120-140-15 MVQ GDLV",,17,"132,8","160,69",,,Gufero
"120-150-10  BABSL  PM Sim.",,0,"1300,9","1574,09",,,Gufero
120-150-12,,7,130,"157,3",,,Gufero
"120-150-12 GP",,2,"161,8","195,78",,,Gufero
"120-160-12 CRW H1 R",,0,"339,9","411,28",,,Gufero
"120-160-13   WC",,3,658,"796,18",,,Gufero
120-160-15,,0,"52,7","63,77",,,Gufero
"120-160-16 GP",,12,"77,1","93,29",,,Gufero
"120-160-16 MVQ GP",,29,234,"283,14",,,Gufero
"125-150-12 GP",,4,"87,4","105,75",,,Gufero
125-150-15,,0,"88,1","106,6",,,Gufero
"125-160-15 GP",,3,"84,9","102,73",,,Gufero
12-18-5,,6,"45,2","54,69",,,Gufero
"12-19-5 GP",,11,"17,2","20,81",,,Gufero
"12-20-4  GP",,15,28,"33,88",,,Gufero
12-20-5,,21,"16,2","19,6",,,Gufero
12-20-7,,1,"20,3","24,56",,,Gufero
"12-20-7  GP",,17,29,"35,09",,,Gufero
"12-21-4  G",,12,"17,2","20,81",,,Gufero
"12-22-10 GP",,0,25,"30,25",,,Gufero
"12-22-5    GP",,19,"12,4",15,,,Gufero
12-22-7,,0,"12,4",15,,,Gufero
"12-22-7 GP",,11,"18,2","22,02",,,Gufero
12-22-8,,24,"32,6","39,45",,,Gufero
"12-23-8     GP",,18,"12,6","15,25",,,Gufero
"12-24-4,5",,12,"20,2","24,44",,,Gufero
"12-24-7  GP",,11,"14,5","17,55",,,Gufero
"12-25-4,5 GP",,10,"16,2","19,6",,,Gufero
12-25-7,,9,"12,1","14,64",,,Gufero
"12-25-7 GP",,16,"11,9","14,4",,,Gufero
"12-26-7   GP",,11,"19,2","23,23",,,Gufero
"12-28-10    G",,18,"12,2","14,76",,,Gufero
12-28-7,,20,"12,2","14,76",,,Gufero
12-30-10,,13,"9,3","11,25",,,Gufero
"12-30-7  GP",,37,"9,9","11,98",,,Gufero
12-32-10,,0,"21,4","25,89",,,Gufero
"12-32-7  GP",,22,"22,2","26,86",,,Gufero
"12-32-8                        FARTEC",,1,"26,4","31,94",,,Gufero
12-35-10,,4,"12,7","15,37",,,Gufero
"130-160-12  GP",,16,"82,8","100,19",,,Gufero
130-160-15,,2,"54,7","66,19",,,Gufero
"130-160-15   GP",,15,"65,8","79,62",,,Gufero
"130-160-15 MVQ GPDLV",,19,"127,1","153,79",,,Gufero
13-22-5,,0,"25,4","30,73",,,Gufero
"13-24-7 G",,19,20,"24,2",,,Gufero
13-26-7,,0,20,"24,2",,,Gufero
13-28-7,,1,"19,7","23,84",,,Gufero
13-30-10,,2,"10,2","12,34",,,Gufero
13-35-10,,1,"11,1","13,43",,,Gufero
"140-160-13 GP",,0,"207,9","251,56",,,Gufero
"140-170-15    WCS NBR",,0,"535,4","647,83",,,Gufero
"140-170-15  GP MVQ (SI)",,19,"179,8","217,56",,,Gufero
"140-170-15 GP",,16,"57,2","69,21",,,Gufero
"140-180-12  BABSL PM Sim.",,0,"1455,6","1761,28",,,Gufero
"140-180-15  GP",,26,"107,8","130,44",,,Gufero
14-20-5,,23,"15,7",19,,,Gufero
14-22-4,,20,37,"44,77",,,Gufero
"14-22-5 GP",,24,"33,2","40,17",,,Gufero
"14-24-5 GP",,20,"18,1","21,9",,,Gufero
14-24-7,,0,"18,8","22,75",,,Gufero
"14-24-7    GP",,25,"18,8","22,75",,,Gufero
"14-24-7 MVQ GP",,1,"18,8","22,75",,,Gufero
"14-25-7       GP",,20,"19,7","23,84",,,Gufero
14-26-7,,20,"19,7","23,84",,,Gufero
"14-26-7   GP",,1,21,"25,41",,,Gufero
14-28-7,,17,12,"14,52",,,Gufero
"14-28-7 MVQ",,16,12,"14,52",,,Gufero
14-30-10,,0,"9,7","11,74",,,Gufero
14-30-7,,0,"16,2","19,6",,,Gufero
"14-30-7 GP",,16,"16,2","19,6",,,Gufero
14-35-10,,15,"9,5","11,5",,,Gufero
"150-180-15 GP",,10,"81,6","98,74",,,Gufero
"150-180-15 GP MVQ",,9,"151,7","183,56",,,Gufero
"150-190-15  G",,15,"142,4","172,3",,,Gufero
"155-180-15 GP MVQ              HAITEC-BV",,0,"219,4","265,47",,,Gufero
15-21-4,,13,"15,3","18,51",,,Gufero
"15-22-5 GP",,19,"16,9","20,45",,,Gufero
15-24-5,,18,"16,9","20,45",,,Gufero
15-24-7,,10,"11,6","14,04",,,Gufero
"15-24-7 GP",,10,"18,9","22,87",,,Gufero
"15-24-7 MVQ",,19,"20,6","24,93",,,Gufero
"15-24-7 VIAS FPM",,3,"127,18","153,9",,,Gufero
15-25-5,,6,"16,9","20,45",,,Gufero
"15-25-5 GP",,40,"16,9","20,45",,,Gufero
"15-25-7 GP                                TC",,18,"19,4","23,47",,,Gufero
"15-26-4,5",,4,12,"14,52",,,Gufero
15-26-7,,0,"12,7","15,37",,,Gufero
"15-26-7 GP",,15,18,"21,78",,,Gufero
15-27-7,,20,"38,7","46,83",,,Gufero
"15-27-7    GP",,20,"38,7","46,83",,,Gufero
"15-28-7                            NAK",,31,"38,7","46,83",,,Gufero
"15-30-4,5",,18,25,"30,25",,,Gufero
"15-30-5,5",,14,14,"16,94",,,Gufero
15-30-7,,5,14,"16,94",,,Gufero
"15-30-7 GP",,20,"16,1","19,48",,,Gufero
15-30-8,,1,"12,7","15,37",,,Gufero
"15-30-8   GP",,20,"16,8","20,33",,,Gufero
"15-30-8  MVQ",,5,"16,8","20,33",,,Gufero
15-32-10,,28,"15,3","18,51",,,Gufero
"15-32-5,5",,18,"15,3","18,51",,,Gufero
15-32-7,,3,"15,3","18,51",,,Gufero
"15-32-7  GP",,18,"15,3","18,51",,,Gufero
"15-35-10   G",,11,"15,4","18,63",,,Gufero
15-35-5,,16,"11,5","13,92",,,Gufero
"15-35-5       GP",,0,0,0,,,Gufero
15-35-7,,1,"13,8","16,7",,,Gufero
"15-35-7 GP",,27,"16,6","20,09",,,Gufero
15-35-8,,0,"15,4","18,63",,,Gufero
15-40-10,,12,16,"19,36",,,Gufero
15-42-8,,19,16,"19,36",,,Gufero
"160-190-15 GP",,16,82,"99,22",,,Gufero
"160-190-15 GP MVQ",,13,160,"193,6",,,Gufero
160-200-15,,4,"66,3","80,22",,,Gufero
"165-195-15  GP",,2,"153,7","185,98",,,Gufero
"16-22-4  GP",,20,"27,1","32,79",,,Gufero
16-24-5,,16,20,"24,2",,,Gufero
"16-24-6,5    GP",,23,"19,2","23,23",,,Gufero
16-24-7,,0,"17,1","20,69",,,Gufero
16-25-7,,18,"21,7","26,26",,,Gufero
"16-26-7 GP",,12,"12,5","15,13",,,Gufero
16-28-7,,10,"12,5","15,13",,,Gufero
"16-28-7          GP",,9,"12,5","15,13",,,Gufero
"16-30-4,5",,10,"12,1","14,64",,,Gufero
16-30-7,,1,"12,1","14,64",,,Gufero
"16-30-7 GP",,10,"18,1","21,9",,,Gufero
16-30-8,,2,"12,5","15,13",,,Gufero
16-32-10,,1,"26,5","32,07",,,Gufero
16-32-7,,21,"12,4",15,,,Gufero
16-35-10,,32,15,"18,15",,,Gufero
16-35-10,,0,15,"18,15",,,Gufero
16-35-7,,12,"14,5","17,55",,,Gufero
"16-38-7 GP",,10,"29,2","35,33",,,Gufero
16-40-10,,18,15,"18,15",,,Gufero
16-40-7,,1,"26,5","32,07",,,Gufero
16-47-7,,10,"61,3","74,17",,,Gufero
"170-200-15 GP MVQ",,15,132,"159,72",,,Gufero
"17,46-28,58-6,4",,3,"35,9","43,44",,,Gufero
"17-24-7   G",,13,"24,3","29,4",,,Gufero
17-25-4,,22,"24,3","29,4",,,Gufero
17-26-6,,14,"27,7","33,52",,,Gufero
"17-27-7                 ERIKS",,3,"27,7","33,52",,,Gufero
17-28-7,,10,"10,7","12,95",,,Gufero
"17-28-7 GP",,11,"14,1","17,06",,,Gufero
"17-28-7 GP MVQ",,15,"19,5","23,6",,,Gufero
"17-29-7 GP",,15,"21,1","25,53",,,Gufero
"17-30-5  GP",,24,14,"16,94",,,Gufero
17-30-7,,0,"9,2","11,13",,,Gufero
"17-30-7 GP",,19,"18,4","22,26",,,Gufero
"17-30-7 GP MVQ",,26,"21,4","25,89",,,Gufero
"17-32-7   GP",,15,"19,6","23,72",,,Gufero
17-35-10,,0,"16,5","19,97",,,Gufero
"17-35-10 GP",,19,19,"22,99",,,Gufero
"17-35-10 GP   MVQ",,18,19,"22,99",,,Gufero
17-35-7,,16,"17,1","20,69",,,Gufero
"17-35-7 GP",,26,"19,1","23,11",,,Gufero
"17-35-7 MVQ",,12,"25,4","30,73",,,Gufero
17-40-10,,6,"18,5","22,39",,,Gufero
"17-40-7 GP",,10,"19,7","23,84",,,Gufero
17-47-7,,20,"19,2","23,23",,,Gufero
180-215-15,,2,"265,5","321,26",,,Gufero
"18-24-3     INA",,2,"57,8","69,94",,,Gufero
18-24-5,,18,"18,2","22,02",,,Gufero
"18-28-7    GP",,14,"37,9","45,86",,,Gufero
18-30-7,,1,8,"9,68",,,Gufero
"18-30-7 GP",,18,"15,1","18,27",,,Gufero
18-32-7,,5,"12,2","14,76",,,Gufero
"18-32-7 GP",,12,"12,2","14,76",,,Gufero
18-35-10,,2,"13,5","16,34",,,Gufero
"18-35-10  GP",,20,"13,5","16,34",,,Gufero
18-37-7,,2,"26,5","32,07",,,Gufero
18-40-10,,3,"12,8","15,49",,,Gufero
18-40-7,,0,"14,2","17,18",,,Gufero
190-220-16,,1,"108,6","131,41",,,Gufero
19-27-6,,7,"18,2","22,02",,,Gufero
"19-30-7  GP",,10,"23,22","28,1",,,Gufero
"19-32-7 GP",,14,"25,4","30,73",,,Gufero
"19-35-10  WA",,0,"19,8","23,96",,,Gufero
19-35-7,,0,"28,4","34,36",,,Gufero
"19-35-7 GP",,16,"29,2","35,33",,,Gufero
"19-36-7                 NAK",,6,"33,6","40,66",,,Gufero
19-40-10,,18,"26,2","31,7",,,Gufero
19-45-10,,0,"28,5","34,49",,,Gufero
19-47-10,,12,"26,5","32,07",,,Gufero
200-225-15,,10,"212,8","257,49",,,Gufero
"200-230-15 GP",,4,"299,5","362,4",,,
"200-230-16   SI",,0,"303,1","366,75",,,Gufero
"20-26-5 GP",,42,"16,7","20,21",,,Gufero
"20-28-4 GP",,13,"24,1","29,16",,,Gufero
20-28-7,,13,"24,1","29,16",,,Gufero
"20-30-5   GP",,21,"24,1","29,16",,,Gufero
20-30-7,,0,"11,3","13,67",,,Gufero
"20-30-7 GP",,17,"24,7","29,89",,,Gufero
"20-30-7 MVQ GP",,26,"24,3","29,4",,,Gufero
"20-30-7/11    MVQ GDPV",,8,"24,3","29,4",,,Gufero
"20-32-5   GP",,22,"21,1","25,53",,,Gufero
"20-32-7 GP",,24,"20,3","24,56",,,Gufero
"20-32-7 HMS4",,0,156,"188,76",,,Gufero
"20-34-7  GP",,39,"18,4","22,26",,,Gufero
"20-35-10   GP",,20,"24,3","29,4",,,Gufero
"20-35-10- MVQ GP",,17,"30,1","36,42",,,Gufero
20-35-5,,15,"9,5","11,5",,,Gufero
20-35-6,,19,"10,5","12,71",,,Gufero
20-35-7,,0,"10,5","12,71",,,Gufero
"20-35-7 GP",,26,"20,4","24,68",,,Gufero
"20-35-7 MVQ",,16,"25,6","30,98",,,Gufero
20-37-10,,1,"26,5","32,07",,,Gufero
"20-37-7 GP",,19,"16,2","19,6",,,Gufero
20-38-7,,5,11,"13,31",,,Gufero
"20-38-7 GP",,27,"25,2","30,49",,,Gufero
20-40-10,,1,"11,5","13,92",,,Gufero
"20-40-10  GP",,16,"19,5","23,6",,,Gufero
"20-40-10  GP Si",,4,"34,6","41,87",,,Gufero
20-40-7,,9,22,"26,62",,,Gufero
"20-40-7 GP",,24,23,"27,83",,,Gufero
"20-40-7/8 GP  BA SL             FR",,0,"72,6","87,85",,,Gufero
20-42-10,,0,"26,5","32,07",,,Gufero
"20-42-10 GP",,18,"19,7","23,84",,,Gufero
20-42-7,,0,"24,1","29,16",,,Gufero
"20-42-7 GP",,16,"24,9","30,13",,,Gufero
20-45-10,,9,"19,2","23,23",,,Gufero
20-47-10,,11,"20,5","24,81",,,Gufero
20-47-12,,0,"21,2","25,65",,,Gufero
20-47-7,,20,"22,4","27,1",,,Gufero
"20-47-7  GP",,2,"23,2","28,07",,,Gufero
"20-47-7 GP FPM",,1,"229,5","277,7",,,Gufero
"20-47-7 MVQ G",,17,"22,4","27,1",,,Gufero
20-52-10,,0,"22,9","27,71",,,Gufero
"20-52-7  GP",,28,"22,9","27,71",,,Gufero
21-32-7,,19,"9,4","11,37",,,Gufero
21-35-7,,19,"9,4","11,37",,,Gufero
21-40-10,,12,"7,7","9,32",,,Gufero
"21-40-7 GP",,15,"22,9","27,71",,,Gufero
21-47-10,,2,"15,9","19,24",,,Gufero
220-250-16,,5,"112,24","135,81",,,Gufero
"22-28-4         INA",,6,"57,2","69,21",,,Gufero
22-31-5,,18,"16,8","20,33",,,Gufero
"22-32-5                       NAK",,18,"16,8","20,33",,,Gufero
22-32-7,,1,"15,6","18,88",,,Gufero
"22-32-7 GP",,7,"17,4","21,05",,,Gufero
"22-32-7 GP MVQ",,19,"30,2","36,54",,,Gufero
"22-32-7 GPDPAH-Si",,0,"30,3","36,66",,,Gufero
"22-35-10       GP",,15,"13,2","15,97",,,Gufero
"22-35-5   GP",,12,"19,2","23,23",,,Gufero
22-35-7,,0,"9,5","11,5",,,Gufero
"22-35-7  GP",,23,"19,5","23,6",,,Gufero
"22-35-7 GP                          NAK",,1,"18,9","22,87",,,Gufero
"22-35-7 MVQ",,16,"41,2","49,85",,,Gufero
22-40-10,,19,"8,4","10,16",,,Gufero
"22-40-10  VIA  FPM",,2,"74,2","89,78",,,Gufero
"22-40-10 GP",,12,"22,8","27,59",,,Gufero
22-40-7,,5,16,"19,36",,,Gufero
"22-40-7 GP",,8,"15,1","18,27",,,Gufero
22-42-10,,0,"27,3","33,03",,,Gufero
"22-42-7   GP",,18,"19,3","23,35",,,Gufero
22-47-10,,11,"13,5","16,34",,,Gufero
22-47-7,,0,"14,7","17,79",,,Gufero
"22-47-7 GP        ERIKS",,3,"80,4","97,28",,,Gufero
"23-35-7                             NAK",,0,"42,6","51,55",,,Gufero
"23-35-7  GP",,17,"42,6","51,55",,,Gufero
"24-32-5  G",,1,"18,2","22,02",,,Gufero
"24-35-7  GP",,24,"16,4","19,84",,,Gufero
24-37-7,,6,"21,8","26,38",,,Gufero
"24-37-7 GP",,38,"41,3","49,97",,,"24-37-7 GP"
24-40-7,,0,"12,3","14,88",,,Gufero
"24-40-7 HMSA10V     SKF",,14,"149,3","180,65",,,Gufero
"24-40-8 GP",,18,"20,6","24,93",,,Gufero
"24-42,9-9,5",,8,25,"30,25",,,Gufero
"24-42-8 GP",,6,"27,9","33,76",,,Gufero
24-47-10,,0,"11,6","14,04",,,Gufero
"24-47-10 GP",,12,"21,3","25,77",,,Gufero
"24-47-7 GP",,19,20,"24,2",,,Gufero
24-50-12,,0,"15,4","18,63",,,Gufero
"24-52-10 GP",,5,"46,6","56,39",,,Gufero
24-62-10,,2,"27,6","33,4",,,Gufero
"25-32-4     INA",,1,"27,7","33,52",,,Gufero
"25-32-6                       YEI",,18,"18,8","22,75",,,Gufero
"25-32-6 WIAS FPM",,4,"44,5","53,85",,,Gufero
"25-33-6               ERIKS",,20,"39,7","48,04",,,Gufero
25-35-5,,20,"10,7","12,95",,,Gufero
"25-35-5 GP",,22,"16,4","19,84",,,Gufero
25-35-7,,0,"13,1","15,85",,,Gufero
"25-35-7 GP",,23,"17,4","21,05",,,Gufero
"25-35-7 MVQ",,46,"25,5","30,86",,,Gufero
"25-36-8 GP                    SOG",,3,"48,6","58,81",,,Gufero
25-37-5,,17,"23,72","28,7",,,Gufero
25-37-7,,2,"23,72","28,7",,,Gufero
25-37-7,,2,"23,72","28,7",,,Gufero
"25-37-7 GP",,29,"28,3","34,24",,,Gufero
"25-38-7              ERIKS",,5,"38,4","46,46",,,Gufero
"25-38-7 GP",,46,"20,2","24,44",,,Gufero
25-40-10,,2,"11,4","13,79",,,Gufero
"25-40-10 GP",,23,"25,3","30,61",,,Gufero
25-40-5,,3,"24,8","30,01",,,Gufero
"25-40-5    GP",,9,"27,9","33,76",,,Gufero
25-40-6,,8,"28,9","34,97",,,Gufero
25-40-7,,12,"17,1","20,69",,,Gufero
"25-40-7 BAUMSKX7    SKF",,1,228,"275,88",,,Gufero
"25-40-7 GP",,14,"15,9","19,24",,,Gufero
"25-40-7 GP  MVQ",,16,"16,9","20,45",,,Gufero
"25-42,9-9,5",,9,"19,6","23,72",,,Gufero
25-42-10,,4,"18,2","22,02",,,Gufero
"25-42-10 GP",,15,"24,8","30,01",,,Gufero
25-42-7,,15,"15,2","18,39",,,Gufero
"25-42-7 GP",,18,"24,7","29,89",,,Gufero
"25-44-7 GP                  NAK",,25,"30,2","36,54",,,Gufero
"25-45-10  GP",,17,"18,1","21,9",,,Gufero
25-45-5,,1,"27,3","33,03",,,Gufero
"25-45-7 GP",,23,"23,3","28,19",,,Gufero
25-47-10,,15,12,"14,52",,,Gufero
25-47-10,,0,"20,3","24,56",,,Gufero
"25-47-10 GP",,16,"20,6","24,93",,,Gufero
"25-47-10 GP MVQ",,21,"21,3","25,77",,,Gufero
25-47-7,,2,"14,2","17,18",,,Gufero
"25-47-7  GP",,20,"19,4","23,47",,,Gufero
"25-47-7 MVQ",,0,"17,9","21,66",,,Gufero
"25-47-8  WC Plech",,1,"35,1","42,47",,,Gufero
25-48-8,,10,"27,3","33,03",,,Gufero
25-50-10,,0,"27,3","33,03",,,Gufero
"25-50-10  GP",,18,"24,23","29,32",,,Gufero
"25-50-10 HMSA7 V",,0,"174,9","211,63",,,Gufero
25-50-12,,13,"15,2","18,39",,,Gufero
"25-50-12 MVQ",,5,"29,4","35,57",,,Gufero
25-50-7,,22,"27,3","33,03",,,Gufero
"25-52-10 GP                   YET",,11,"21,3","25,77",,,Gufero
"25-52-12   GP",,18,"27,2","32,91",,,Gufero
"25-52-12 MVQ",,6,"33,6","40,66",,,Gufero
25-52-7,,0,"22,4","27,1",,,Gufero
"25-52-7 GP",,22,"25,6","30,98",,,Gufero
"25-52-7 MVQ",,1,"28,3","34,24",,,Gufero
25-52-8,,0,"26,1","31,58",,,Gufero
"25-52-8  GP",,25,"26,1","31,58",,,Gufero
"25-52-8  plech",,1,"35,6","43,08",,,Gufero
"25-55-10     GP",,19,"24,5","29,65",,,Gufero
"25-62-10     GP",,11,"24,5","29,65",,,Gufero
25-62-7,,0,"27,6","33,4",,,Gufero
25-62-8,,1,"29,3","35,45",,,Gufero
"25-62-8  GP",,18,"29,3","35,45",,,Gufero
"25-62-8  GPMVQ",,27,"33,9","41,02",,,Gufero
"25-62-8 MVQ",,0,"29,1","35,21",,,Gufero
25-72-7,,20,"20,6","24,93",,,Gufero
260-290-16,,0,"503,9","609,72",,,Gufero
"26-35-7  G",,13,"17,3","20,93",,,Gufero
"26-35-7 GP (Viton)",,0,"91,8","111,08",,,Gufero
"26-37-7 GP",,29,19,"22,99",,,Gufero
"26-38-7 GP",,47,"19,3","23,35",,,Gufero
"26-40-7   GP",,19,"18,8","22,75",,,Gufero
26-42-10,,10,"22,1","26,74",,,Gufero
"26-42-7   GP",,14,"18,8","22,75",,,Gufero
26-45-10,,5,"9,9","11,98",,,Gufero
26-47-10,,11,"14,6","17,67",,,Gufero
26-47-7,,19,"15,9","19,24",,,Gufero
26-50-12,,2,"15,1","18,27",,,Gufero
"26-52-7 GP                        TTO",,7,"51,2","61,95",,,Gufero
27-40-10,,14,"22,6","27,35",,,Gufero
"27-42-7 GP",,22,"36,3","43,92",,,Gufero
"27-42-8 GP",,0,"11,7","14,16",,,Gufero
"27-50-9,5",,34,"11,7","14,16",,,Gufero
28-35-5,,0,"11,7","14,16",,,Gufero
"28-35-5 GP",,18,"27,6","33,4",,,Gufero
28-38-7,,17,"20,5","24,81",,,Gufero
"28-38-7 GP",,9,"29,2","35,33",,,Gufero
"28-38-7 GP MVQ",,17,"32,6","39,45",,,Gufero
"28-38-7 MVQ",,0,"32,6","39,45",,,Gufero
"28-38-8 GP",,8,"10,9","13,19",,,Gufero
"28-40-5 GP",,16,"15,3","18,51",,,"28-40-5 GP"
"28-40-6 BABSL      SKF",,0,228,"275,88",,,Gufero
28-40-7,,0,"12,7","15,37",,,Gufero
"28-40-8 GP",,24,"23,7","28,68",,,Gufero
28-42-10,,2,"24,8","30,01",,,Gufero
"28-42-7 GP",,25,"25,7","31,1",,,Gufero
28-43-10,,0,"27,6","33,4",,,Gufero
"28-45-8  NBR",,6,"27,6","33,4",,,Gufero
28-47-10,,0,"13,1","15,85",,,Gufero
"28-47-10 GP",,10,"22,2","26,86",,,Gufero
"28-47-7   GP",,17,"22,4","27,1",,,Gufero
28-47-8,,1,"25,2","30,49",,,Gufero
"28-48-8 GP",,25,"24,1","29,16",,,Gufero
"28-50-10   GP",,22,"32,9","39,81",,,Gufero
28-50-12,,14,21,"25,41",,,Gufero
28-52-10,,16,"15,2","18,39",,,Gufero
"28-52-10 GP",,2,"18,9","22,87",,,Gufero
28-52-7,,2,"13,6","16,46",,,Gufero
"28-52-7  GP",,13,"15,9","19,24",,,Gufero
28-62-10,,20,"30,2","36,54",,,Gufero
28-72-10,,2,"30,2","36,54",,,Gufero
29-40-7,,8,"24,9","30,13",,,Gufero
29-47-10,,19,"24,9","30,13",,,Gufero
"29-47-10                     ERIKS",,0,"68,2","82,52",,,Gufero
"30-40-10                ERIKS",,5,"37,1","44,89",,,Gufero
"30-40-5   GP",,11,"20,9","25,29",,,Gufero
30-40-7,,27,"14,9","18,03",,,Gufero
"30-40-7  GP  MVQ",,1,"37,6","45,5",,,Gufero
"30-40-7 GP",,20,"23,4","28,31",,,Gufero
"30-42-4,5",,21,"24,5","29,65",,,Gufero
30-42-7,,0,"11,1","13,43",,,Gufero
"30-42-7 GP",,45,"25,1","30,37",,,Gufero
30-44-10,,1,"27,6","33,4",,,Gufero
"30-44-7 GP                     TTO",,17,"28,4","34,36",,,Gufero
30-45-5,,1,"27,6","33,4",,,Gufero
"30-45-7 GP",,9,"28,3","34,24",,,Gufero
"30-45-8 MVQ",,2,"23,6","28,56",,,Gufero
"30-46-8                               NAK",,1,"65,3","79,01",,,Gufero
30-47-10,,0,"24,8","30,01",,,Gufero
"30-47-10 GP",,9,27,"32,67",,,Gufero
30-47-7,,0,"13,2","15,97",,,Gufero
"30-47-7 G MVQ",,20,"24,8","30,01",,,Gufero
"30-47-7 GP",,20,"18,8","22,75",,,Gufero
"30-47-8 GP                IN",,29,"25,8","31,22",,,Gufero
"30-48-8               ERIKS",,16,"38,2","46,22",,,Gufero
30-50-10,,0,"21,7","26,26",,,Gufero
"30-50-10 GP",,23,23,"27,83",,,Gufero
"30-50-10 MVQ GP",,13,"28,5","34,49",,,Gufero
30-50-12,,0,"17,5","21,18",,,Gufero
"30-50-12  GP",,6,"25,7","31,1",,,Gufero
30-50-7,,1,"25,1","30,37",,,Gufero
"30-50-7   GP   MVQ",,11,"25,1","30,37",,,Gufero
30-52-10,,1,"11,3","13,67",,,Gufero
"30-52-10   GP",,11,"21,8","26,38",,,Gufero
"30-52-10 MVQ",,0,"22,4","27,1",,,Gufero
"30-52-12    GP",,11,"31,6","38,24",,,Gufero
30-52-7,,0,"15,5","18,76",,,Gufero
"30-52-7   GP",,22,"20,5","24,81",,,Gufero
30-52-8,,0,"16,8","20,33",,,Gufero
"30-52-8 GP",,19,"20,3","24,56",,,Gufero
"30-52-8 MVQ",,23,"25,7","31,1",,,Gufero
"30-55-10  GP",,14,"24,2","29,28",,,Gufero
"30-55-10 MVQ GPV",,10,35,"42,35",,,Gufero
30-55-7,,1,"32,3","39,08",,,Gufero
"30-55-7  GP",,20,"32,3","39,08",,,Gufero
"30-56-10    GP",,14,"37,9","45,86",,,Gufero
30-56-12,,18,"17,1","20,69",,,Gufero
"30-62-10  GP",,28,"24,5","29,65",,,Gufero
